metric,value
samples,601
gps_valid_fraction,0.780366
barometer_valid_fraction,1
pitot_valid_fraction,1
magnetometer_valid_fraction,1
radar_valid_fraction,1
optical_flow_valid_fraction,0
horizon_valid_fraction,0.763727
imu_accel_norm_mean_mps2,24.8117
imu_gyro_norm_mean_rps,1.21722
gps_position_rmse_m,59.5823
gps_velocity_rmse_mps,11.489
barometer_altitude_rmse_m,2.40868
pitot_airspeed_rmse_mps,0.383451
radar_agl_rmse_m_flat_terrain,1.78324
magnetometer_heading_rmse_deg,3.50889
horizon_roll_rmse_deg,1.42255
horizon_pitch_rmse_deg,0.909324
