scenario,sample_index,seed,duration_s,final_x_m,final_y_m,final_altitude_m,final_speed_mps,max_altitude_m,max_speed_mps,max_load_factor_g,max_qbar_pa,event_count,run_dir
actuator_saturation,,,14.0,1477.4277773799492,-130.030196520784,546.4234036429698,100.72680685353981,1023.1731371629267,146.27412700857482,4.104624534372397,11876.859202505426,6,outputs/batch_expanded/actuator_saturation
engine_thrust_loss,,,18.0,2708.0970492293936,0.0,253.9369352540258,127.63044202922858,286.2758222882213,193.62835129473814,2.2464358659717867,22526.072333351018,3,outputs/batch_expanded/engine_thrust_loss
glide_return,,,35.0,358.09660246281237,143.72647214973878,394.79082878890875,24.691784007630012,1200.0,48.104053883222775,3.0790154803914915,1261.0944322985495,1,outputs/batch_expanded/glide_return
gusted_crossrange,,,19.98,1040.5619376345696,-136.636365222361,233.62309300296016,74.51745652206743,1020.7484602320054,111.54469120568695,3.1477191236395927,7370.258146278253,3,outputs/batch_expanded/gusted_crossrange
high_altitude_low_density,,,24.0,9700.025958412116,0.0,14787.72839974664,452.77288784197276,14787.72839974664,537.6679073565342,6.070793515615264,29548.687761429024,3,outputs/batch_expanded/high_altitude_low_density
high_aoa_stall,,,12.0,1672.360504396256,0.0,1298.2979401028126,201.53626091393033,1298.2979401028126,201.53626091393033,2.1084485038907763,21921.65949016082,1,outputs/batch_expanded/high_aoa_stall
nominal_ascent,,,18.0,3597.189329170906,0.0,375.77513012546524,202.82496505083748,375.77513012546524,264.6133316357358,2.295343084805138,41844.2257905442,2,outputs/batch_expanded/nominal_ascent
sensor_noise_autopilot,,,18.0,1092.0281592504957,23.722639227410323,126.81943327705748,80.1866085713709,1020.6976912640374,110.5573760021779,3.1486988400519973,7202.017145331514,3,outputs/batch_expanded/sensor_noise_autopilot
stuck_elevator_failure,,,18.0,2093.020142127714,16.29011672486132,1525.758983217058,104.20008510028325,1525.758983217058,203.2232331082337,4.196268178561303,24523.5327315318,3,outputs/batch_expanded/stuck_elevator_failure
target_intercept,,,18.0,1187.1672717289475,-39.418941977882405,175.89086210687466,79.99890086256075,1023.0662537523607,118.59869435490069,3.5727938564692705,8291.032257332632,3,outputs/batch_expanded/target_intercept
thrust_misalignment,,,18.0,1352.8922489462366,89.07968706579246,196.19621302874026,81.88629248521926,1020.1593701919136,114.81726488047694,3.4453012200585196,7313.307439766792,3,outputs/batch_expanded/thrust_misalignment
waypoint_navigation,,,21.96,121.27501533245025,5.091941921128039,-0.4101439507079325,29.32594159297661,450.0,42.04759208325728,2.963504373132651,1203.383344165056,2,outputs/batch_expanded/waypoint_navigation
