time_s,thrust_n,mass_flow_kgps,impulse_n_s,throttle_actual
0.0,380.0,0.20394324259558566,0.0,1.0
0.0981132075471698,402.07547169811323,0.21579098806911276,38.365966536133854,1.0
0.1962264150943396,424.1509433962264,0.2276387335426398,78.89782840868637,1.0
0.2943396226415094,446.22641509433964,0.2394864790161669,121.59558561765753,1.0
0.3924528301886792,468.3018867924528,0.25133422448969395,166.45923816304733,1.0
0.490566037735849,469.88083416087386,0.25218163408496647,212.48329617207844,1.0
0.5886792452830188,469.7517378351539,0.25211234902371776,258.5784789492421,1.0
0.6867924528301886,469.62264150943395,0.25204306396246906,304.66099567180675,1.0
0.7849056603773584,469.493545183714,0.25197377890122036,350.7308463397725,1.0
0.8830188679245282,469.36444885799403,0.2519044938399717,396.7880309531393,1.0
0.981132075471698,469.2353525322741,0.251835208778723,442.83254951190713,1.0
1.079245283018868,469.1062562065541,0.2517659237174743,488.8644020160761,1.0
1.1773584905660377,468.97715988083417,0.2516966386562256,534.8835884656461,1.0
1.2754716981132075,468.8480635551142,0.2516273535949769,580.8901088606171,1.0
1.3735849056603773,468.71896722939425,0.2515580685337282,626.8839632009892,1.0
1.471698113207547,468.5898709036743,0.25148878347247955,672.8651514867624,1.0
1.5698113207547169,468.46077457795434,0.25141949841123085,718.8336737179367,1.0
1.6679245283018866,468.3316782522344,0.25135021334998214,764.7895298945119,1.0
1.7660377358490564,468.2025819265144,0.25128092828873344,810.7327200164883,1.0
1.8641509433962262,468.0734856007944,0.25121164322748474,856.6632440838657,1.0
1.962264150943396,467.94438927507446,0.25114235816623603,902.5811020966441,1.0
2.060377358490566,467.8152929493545,0.25107307310498733,948.4862940548238,1.0
2.158490566037736,467.68619662363454,0.25100378804373863,994.3788199584044,1.0
2.2566037735849056,467.5571002979146,0.2509345029824899,1040.258679807386,1.0
2.3547169811320754,467.42800397219463,0.2508652179212412,1086.1258736017687,1.0
2.452830188679245,467.2989076464747,0.2507959328599925,1131.9804013415526,1.0
2.550943396226415,467.1698113207547,0.2507266477987439,1177.8222630267373,1.0
2.6490566037735848,467.04071499503476,0.25065736273749517,1223.6514586573232,1.0
2.7471698113207546,466.9116186693148,0.25058807767624647,1269.4679882333103,1.0
2.8452830188679243,466.78252234359485,0.25051879261499777,1315.2718517546982,1.0
2.943396226415094,466.6534260178749,0.25044950755374906,1361.0630492214873,1.0
3.041509433962264,466.52432969215494,0.25038022249250036,1406.8415806336775,1.0
3.1396226415094337,466.395233366435,0.2503109374312517,1452.6074459912686,1.0
3.2377358490566035,466.266137040715,0.250241652370003,1498.3606452942608,1.0
3.3358490566037733,466.137040714995,0.25017236730875425,1544.1011785426542,1.0
3.433962264150943,466.00794438927505,0.25010308224750555,1589.8290457364485,1.0
3.532075471698113,465.8788480635551,0.2500337971862569,1635.544246875644,1.0
3.6301886792452827,465.74975173783514,0.2499645121250082,1681.2467819602405,1.0
3.7283018867924524,465.6206554121152,0.2498952270637595,1726.936650990238,1.0
3.8264150943396222,465.4915590863952,0.2498259420025108,1772.6138539656365,1.0
3.924528301886792,465.36246276067527,0.24975665694126212,1818.2783908864362,1.0
4.022641509433962,465.2333664349553,0.24968737188001341,1863.9302617526369,1.0
4.120754716981132,465.10427010923536,0.2496180868187647,1909.5694665642388,1.0
4.218867924528301,464.9751737835154,0.249548801757516,1955.1960053212415,1.0
4.316981132075472,464.84607745779545,0.24947951669626733,2000.8098780236455,1.0
4.415094339622641,464.7169811320755,0.24941023163501863,2046.4110846714502,1.0
4.513207547169811,464.58788480635553,0.24934094657376993,2091.9996252646565,1.0
4.6113207547169806,464.4587884806356,0.24927166151252125,2137.5754998032635,1.0
4.709433962264151,464.3296921549156,0.24920237645127255,2183.138708287272,1.0
4.80754716981132,464.2005958291956,0.24913309139002382,2228.6892507166813,1.0
4.90566037735849,464.07149950347565,0.24906380632877514,2274.2271270914916,1.0
5.00377358490566,463.9424031777557,0.24899452126752644,2319.7523374117027,1.0
5.10188679245283,463.81330685203574,0.24892523620627774,2365.2648816773153,1.0
5.199999999999999,463.6842105263158,0.24885595114502904,2410.7647598883286,1.0
5.2981132075471695,463.5551142005958,0.24878666608378036,2456.2519720447435,1.0
5.396226415094339,463.42601787487587,0.24871738102253166,2501.726518146559,1.0
5.494339622641509,463.2969215491559,0.24864809596128296,2547.188398193776,1.0
5.5924528301886784,463.16782522343595,0.24857881090003428,2592.637612186393,1.0
5.690566037735849,463.038728897716,0.24850952583878558,2638.074160124412,1.0
5.788679245283018,462.90963257199604,0.24844024077753687,2683.498042007832,1.0
5.886792452830188,462.7805362462761,0.2483709557162882,2728.909257836653,1.0
5.984905660377358,462.65143992055613,0.2483016706550395,2774.307807610875,1.0
6.083018867924528,462.5223435948362,0.2482323855937908,2819.693691330498,1.0
6.181132075471697,462.3932472691162,0.24816310053254212,2865.0669089955218,1.0
6.279245283018867,462.2641509433962,0.2480938154712934,2910.427460605947,1.0
6.377358490566038,462.13505461767625,0.24802453041004469,2955.7753461617735,1.0
6.475471698113207,462.0059582919563,0.24795524534879598,3001.1105656630007,1.0
6.573584905660377,461.87686196623633,0.2478859602875473,3046.4331191096294,1.0
6.671698113207547,461.7477656405164,0.2478166752262986,3091.7430065016583,1.0
6.769811320754717,461.6186693147964,0.2477473901650499,3137.040227839089,1.0
6.867924528301886,461.48957298907646,0.24767810510380123,3182.32478312192,1.0
6.966037735849056,461.3604766633565,0.24760882004255252,3227.596672350153,1.0
7.064150943396226,461.23138033763655,0.24753953498130382,3272.8558955237863,1.0
7.162264150943396,461.1022840119166,0.24747024992005512,3318.1024526428214,1.0
7.260377358490565,460.97318768619664,0.24740096485880644,3363.336343707257,1.0
7.3584905660377355,460.8440913604767,0.24733167979755774,3408.557568717094,1.0
7.456603773584905,460.7149950347567,0.24726239473630904,3453.7661276723315,1.0
7.554716981132075,460.58589870903677,0.24719310967506036,3498.9620205729707,1.0
7.6528301886792445,460.45680238331676,0.24712382461381163,3544.1452474190105,1.0
7.750943396226415,460.3277060575968,0.24705453955256293,3589.315808210452,1.0
7.849056603773584,460.19860973187684,0.24698525449131425,3634.473702947294,1.0
7.947169811320754,460.0695134061569,0.24691596943006555,3679.618931629537,1.0
8.045283018867924,459.63773584905664,0.24668423754828916,3724.736645743944,1.0
8.143396226415094,458.85283018867926,0.24626298437589708,3769.794673511833,1.0
8.241509433962264,458.0679245283019,0.245841731203505,3814.7756916677604,1.0
8.339622641509433,457.2830188679245,0.24542047803111292,3859.6797002117255,1.0
8.437735849056603,456.4981132075472,0.24499922485872086,3904.5066991437297,1.0
8.535849056603773,455.7132075471698,0.24457797168632878,3949.2566884637727,1.0
8.633962264150943,454.92830188679244,0.2441567185139367,3993.9296681718542,1.0
8.732075471698112,454.1433962264151,0.24373546534154464,4038.525638267973,1.0
8.830188679245282,453.35849056603774,0.24331421216915256,4083.0445987521316,1.0
8.928301886792452,452.57358490566037,0.24289295899676047,4127.486549624328,1.0
9.026415094339622,451.788679245283,0.2424717058243684,4171.851490884564,1.0
9.12452830188679,451.0037735849057,0.24205045265197633,4216.139422532837,1.0
9.222641509433961,450.2188679245283,0.24162919947958425,4260.350344569149,1.0
9.320754716981131,449.433962264151,0.2412079463071922,4304.484256993499,1.0
9.418867924528302,448.6490566037736,0.2407866931348001,4348.541159805888,1.0
9.516981132075472,447.8641509433962,0.24036543996240803,4392.521053006316,1.0
9.61509433962264,447.07924528301885,0.23994418679001595,4436.423936594781,1.0
9.71320754716981,446.29433962264153,0.23952293361762392,4480.249810571285,1.0
9.81132075471698,445.50943396226415,0.23910168044523183,4523.998674935828,1.0
9.909433962264151,444.7245283018868,0.23868042727283975,4567.670529688409,1.0
10.00754716981132,443.93962264150946,0.2382591741004477,4611.265374829028,1.0
10.10566037735849,443.1547169811321,0.2378379209280556,4654.783210357686,1.0
10.20377358490566,442.3698113207547,0.23741666775566353,4698.224036274382,1.0
10.30188679245283,441.58490566037733,0.23699541458327145,4741.587852579118,1.0
10.399999999999999,440.8,0.2365741614108794,4784.87465927189,1.0
10.498113207547169,440.01509433962264,0.2361529082384873,4828.084456352702,1.0
10.596226415094339,439.2301886792453,0.23573165506609525,4871.217243821552,1.0
10.69433962264151,438.44528301886794,0.23531040189370317,4914.273021678441,1.0
10.792452830188678,437.66037735849056,0.2348891487213111,4957.251789923368,1.0
10.890566037735848,436.8754716981132,0.234467895548919,5000.153548556334,1.0
10.988679245283018,436.09056603773587,0.23404664237652695,5042.978297577338,1.0
11.086792452830188,435.3056603773585,0.23362538920413486,5085.726036986381,1.0
11.184905660377357,434.5207547169812,0.2332041360317428,5128.396766783461,1.0
11.283018867924527,433.7358490566038,0.23278288285935073,5170.990486968581,1.0
11.381132075471697,432.9509433962264,0.23236162968695864,5213.507197541739,1.0
11.479245283018868,432.16603773584905,0.23194037651456656,5255.946898502935,1.0
11.577358490566036,431.3811320754717,0.2315191233421745,5298.30958985217,1.0
11.675471698113206,430.59622641509435,0.23109787016978242,5340.595271589443,1.0
11.773584905660377,429.811320754717,0.23067661699739034,5382.8039437147545,1.0
11.871698113207547,429.02641509433965,0.23025536382499828,5424.935606228105,1.0
11.969811320754715,428.2415094339623,0.2298341106526062,5466.990259129493,1.0
12.067924528301885,427.4566037735849,0.22941285748021412,5508.96790241892,1.0
12.166037735849056,426.6716981132075,0.22899160430782203,5550.8685360963855,1.0
12.264150943396226,425.8867924528302,0.22857035113542998,5592.69216016189,1.0
12.362264150943394,425.10188679245283,0.2281490979630379,5634.438774615432,1.0
12.460377358490565,424.3169811320755,0.22772784479064584,5676.108379457012,1.0
12.558490566037735,423.53207547169814,0.22730659161825376,5717.7009746866315,1.0
12.656603773584905,422.74716981132076,0.22688533844586167,5759.2165603042895,1.0
12.754716981132075,421.9622641509434,0.2264640852734696,5800.655136309985,1.0
12.852830188679244,421.17735849056606,0.22604283210107756,5842.016702703719,1.0
12.950943396226414,420.3924528301887,0.22562157892868548,5883.301259485492,1.0
13.049056603773584,0.0,0.0,5903.9242854733875,0.0
13.147169811320754,0.0,0.0,5903.9242854733875,0.0
13.245283018867923,0.0,0.0,5903.9242854733875,0.0
13.343396226415093,0.0,0.0,5903.9242854733875,0.0
13.441509433962263,0.0,0.0,5903.9242854733875,0.0
13.539622641509434,0.0,0.0,5903.9242854733875,0.0
13.637735849056602,0.0,0.0,5903.9242854733875,0.0
13.735849056603772,0.0,0.0,5903.9242854733875,0.0
13.833962264150943,0.0,0.0,5903.9242854733875,0.0
13.932075471698113,0.0,0.0,5903.9242854733875,0.0
14.030188679245281,0.0,0.0,5903.9242854733875,0.0
14.128301886792451,0.0,0.0,5903.9242854733875,0.0
14.226415094339622,0.0,0.0,5903.9242854733875,0.0
14.324528301886792,0.0,0.0,5903.9242854733875,0.0
14.42264150943396,0.0,0.0,5903.9242854733875,0.0
14.52075471698113,0.0,0.0,5903.9242854733875,0.0
14.6188679245283,0.0,0.0,5903.9242854733875,0.0
14.716981132075471,0.0,0.0,5903.9242854733875,0.0
14.81509433962264,0.0,0.0,5903.9242854733875,0.0
14.91320754716981,0.0,0.0,5903.9242854733875,0.0
15.01132075471698,0.0,0.0,5903.9242854733875,0.0
15.10943396226415,0.0,0.0,5903.9242854733875,0.0
15.207547169811319,0.0,0.0,5903.9242854733875,0.0
15.305660377358489,0.0,0.0,5903.9242854733875,0.0
15.40377358490566,0.0,0.0,5903.9242854733875,0.0
15.50188679245283,0.0,0.0,5903.9242854733875,0.0
15.6,0.0,0.0,5903.9242854733875,0.0
